token	repeticiones	#docs
ihas	2	1
soka	1	1
mokuren	1	1
tokyo	23	10
ccsr	4	2
hepco	1	1
lilac	1	1
aix	9	6
kr	136	11
snu	6	4
atmlib	1	1
nwp	2	2
nowcom	4	4
nownuri	1	1
nm	31	7
kren	1	1
kw	15	6
moc	6	4
hms	1	1
mil	548	11
af	214	8
laafb	5	5
plh	6	5
cirrus	7	6
rl	45	16
do	297	127
tornado	4	4
ers	7	3
wf	6	6
safb	6	6
army	120	28
nvl	1	1
fyatzeck	1	1
ssdc	2	2
navy	138	13
chinalake	6	6
meyer	1	1
nosc	6	6
nrad	1	1
stacks	2	2
bugh	1	1
albny	1	1
alter	351	12
dynip	341	6
tx	187	7
dallas	90	9
att	117	8
phoenix	26	9
los	653	57
angeles	117	20
denver	55	9
minneapolis	22	7
middletown	12	6
bluegrass	7	6
noc	12	5
cinti	7	6
clark	30	22
witsend	1	1
concentric	6	5
cnc	3	2
cyberhighway	6	6
phxtech	1	1
earthlink	9	6
la	1049	101
eon	7	6
planet	41	17
port	32	16
flash	8	6
tpm	1	1
fn	5905	110
fuse	3	3
riogrande	1	1
iadfw	9	6
jk	5	5
infi	80	6
orf	4	4
dsp	3	3
infini	1	1
infoave	53	2
tnwabg	6	5
iu	8	6
netport	5	5
iwl	5	5
lancite	4	4
modem	11	6
lightspeed	9	6
teh	19	4
mci	173	7
campus	134	18
uinet	1	1
chicago	233	38
infolink	10	6
mcn	10	6
cspm	1	1
metrolink	6	6
mich	15	6
dialip	20	6
micron	30	7
ont	5	5
cont	4	4
mts	14	6
nantucket	5	5
nl	472	7
utrecht	4	4
utr	1	1
nome	2	1
odyssee	6	6
olympus	6	6
papm	1	1
ozemail	7	6
pi	30	11
amf	1	1
denv	1	1
planete	4	4
mon	17	9
ricochet	4	4
mg	10	9
wn	7	4
brn	1	1
sunvalley	2	2
sundialin	1	1
tgn	6	6
theramp	6	6
kato	1	1
tvs	6	6
chk	1	1
ultra	15	9
cinna	1	1
usit	15	6
dynamic	28	17
jackson	37	28
uu	930	10
seattle	76	8
cust	2	2
videotron	4	4
vl	1	1
poste	1	1
voyager	21	6
flnt	1	1
why	130	71
dal	33	8
ann	19	13
xs	8	6
ztm	6	5
asterisk	3	3
nz	224	10
massey	7	7
vuw	6	6
totara	1	1
waikato	14	6
isis	2	2
cbn	9	6
sampson	3	3
fortnet	6	6
hall	106	41
town	41	31
ngs	3	3
mouth	3	3
sb	33	10
term	337	161
shodor	1	1
wash	11	9
worldbank	6	6
envlwc	1	1
ru	55	9
ksu	30	7
phys	44	6
rssi	3	2
sio	2	2
manta	1	1
ffa	3	3
eagle	5	5
malin	3	2
anst	4	4
stiglqst	1	1
hvi	2	1
dan	30	18
hspforsk	1	1
wineasy	4	4
ras	8	7
sg	141	7
singnet	6	6
jtc	1	1
si	112	18
aster	1	1
bellis	1	1
sk	52	10
savba	1	1
cyril	1	1
tw	51	7
ccu	8	6
dorm	34	7
uk	1019	20
aber	13	6
dph	1	1
physaa	1	1
lancs	7	6
etna	1	1
leeds	4	4
webserv	1	1
lgu	3	3
pcthcs	1	1
ee	156	10
meehpe	1	1
nerc	3	3
jupiter	2	2
pcswmb	1	1
strath	9	5
dpp	2	2
ppr	1	1
bull	24	9
cims	3	3
dircon	9	6
gw	22	8
maires	1	1
cmr	3	3
nickm	1	1
govt	13	8
meto	2	2
cpa	6	5
ycal	1	1
lib	432	6
kitsap	5	5
linknet	7	4
za	193	6
uct	9	6
egs	1	1
hickory	2	2
telkom	12	8
qsom	1	1
vdoornj	1	1
archive	4	3
section	85	32
byte	49	7
bytes	39	7
sent	48	30
atmoonly	1	1
html	102	20
batsmain	1	1
batsreadme	1	1
betterton	1	1
bruintjes	15	2
campusmap	1	1
chaos	26	7
chemlab	1	1
codedir	1	1
davies	1	1
dept	40	11
shtml	7	1
dickinson	17	8
directory	23	15
docdir	1	1
fu	7	7
herman	12	6
gps	53	6
krider	1	1
lemmon	1	1
mullen	1	1
publication	30	16
renno	1	1
schotland	1	1
sellers	19	5
seminar	5	5
stats	4	4
statsjul	1	1
statsnow	1	1
weidman	1	1
zehnder	1	1
zeng	2	2
battlecr	1	1
htm	13	9
battle	34	22
creek	14	7
st	213	65
philip	7	5
neri	2	1
fraternity	5	4
nbsp	774	136
mrs	23	15
janice	1	1
gray	23	18
sfo	29	10
minister	204	44
jgray	1	1
iserv	6	6
street	154	48
meet	76	55
sunday	4	4
parish	4	4
prayer	8	4
room	50	34
capital	138	56
ave	11	8
ne	210	47
hydrology	12	4
table	38	17
contents	48	33
previous	56	40
imaging	48	19
introduction	82	53
cryosphere	1	1
hydrosphere	1	1
interacts	1	1
significantly	13	8
global	114	42
geosphere	1	1
biosphere	1	1
earth	56	28
land	92	47
surface	124	18
covered	86	26
seasonally	1	1
snow	80	6
permanently	16	8
play	123	33
roles	67	36
regional	93	35
climates	2	2
higher	86	43
albedo	4	2
natural	156	54
earliest	8	8
signs	13	12
change	152	83
likely	70	42
polar	4	4
regions	78	28
seasonal	16	9
cover	85	37
alpine	11	3
glaciers	9	3
investigations	20	18
climatology	11	5
radiation	9	8
water	176	48
balances	12	8
portions	5	5
middle	88	38
latitudes	6	2
elevations	4	3
tropical	18	5
contributors	6	5
runoff	19	7
rivers	8	6
ground	41	24
recharge	1	1
dual	16	9
estimating	7	3
quantity	5	4
packs	2	1
timing	7	5
snowmelt	1	1
confront	8	8
hydrologists	3	1
understanding	55	35
processes	46	30
chemical	27	18
drainage	5	3
basins	3	2
translocation	1	1
anions	1	1
cations	2	2
pack	6	4
concentrated	4	4
release	48	35
first	436	152
phases	7	5
melt	3	2
season	28	12
soil	129	11
moisture	104	2
environmental	92	44
descriptor	2	1
integrates	3	3
much	120	71
interface	22	8
interaction	27	19
solid	23	10
life	417	122
seems	21	14
existence	42	20
biogeochemical	2	1
cycles	5	5
wide	82	55
spread	18	15
variable	16	7
process	214	87
two	631	185
reasons	65	45
measure	42	26
point	134	71
consistent	25	12
spatially	2	1
basis	82	56
exhibits	13	9
spatial	30	5
temporal	20	3
variability	18	5
thus	84	38
measurements	41	9
little	63	42
meaning	70	35
practical	45	37
measurable	5	5
hydrologic	14	1
climatic	6	3
agricultural	32	21
passive	19	8
microwave	31	6
active	47	22
sar	108	21
techniques	134	55
provided	64	42
theoretical	21	14
experimental	23	12
top	88	61
cm	31	12
measured	26	11
aircraft	21	13
platforms	2	2
under	373	123
variety	80	54
conditions	112	61
moderate	8	8
vegetation	30	7
define	21	19
issues	272	122
sensing	28	7
equivalence	14	2
describe	26	19
capabilities	27	12
limitations	20	15
progress	55	34
document	53	31
still	122	70
operational	22	15
status	141	75
background	87	48
scientific	36	27
objectives	53	38
related	180	84
identified	32	18
distributions	8	2
dimensions	11	9
properties	32	12
relevant	31	23
dynamics	40	30
lake	51	28
sheets	2	1
shelves	2	1
understand	53	35
reservoirs	2	2
glacier	9	3
melting	7	3
freezing	4	3
scales	28	11
volumes	5	4
fluxes	4	1
permafrost	1	1
phenomena	21	16
hampers	2	1
conventional	24	18
situ	7	2
sampling	13	2
methods	181	77
utility	26	9
capturing	2	2
require	59	31
timely	6	6
measurement	12	8
parameters	17	6
redistribution	3	2
solar	22	15
energy	190	56
serves	31	20
fundamental	33	23
role	449	106
evapotranspiration	2	1
vapor	4	4
precipitation	10	5
residence	34	26
order	414	174
week	84	44
couple	19	13
days	120	53
emphasize	3	3
nature	210	75
importance	67	37
emerged	12	11
area	182	87
since	188	94
mid	38	26
when	399	136
geophysical	6	3
fluid	11	6
laboratory	28	17
placed	33	28
circulation	25	7
model	188	52
gcm	11	4
manabe	3	1
et	101	41
sophistication	3	3
gcms	4	2
increased	62	36
weakness	3	3
according	139	69
ces	10	6
adequate	16	15
parameterization	3	3
variables	34	24
terrestrial	5	5
phase	31	17
primarily	39	33
totally	11	11
inadequate	7	6
concerning	106	59
degree	49	31
goes	46	30
further	130	62
say	41	29
introduces	10	7
severe	26	19
shortcoming	2	2
testing	57	22
output	18	13
perhaps	17	13
performs	8	7
partitioning	2	1
incoming	5	3
radiative	5	3
sensible	7	6
latent	4	3
heat	27	16
factor	39	23
involved	117	64
determining	31	23
relative	45	36
proportions	6	6
availability	20	13
generally	95	40
modeling	37	8
demonstrated	19	9
sensitivity	9	4
anomalies	5	4
walker	24	22
rowntree	2	1
bolton	1	1
rind	1	1
shukla	1	1
mintz	1	1
delworth	1	1
second	159	85
forcing	6	5
function	92	48
temperature	46	9
summer	18	14
equally	13	12
smaller	13	10
recent	163	81
mesoscale	8	2
similarly	15	10
gradients	3	1
fast	26	19
mccorcle	1	1
shown	55	29
induce	8	7
thermally	1	1
induced	8	8
circulations	4	2
breezes	1	1
chang	29	5
wetzel	1	1
variations	14	10
baroclinic	1	1
structures	46	33
differential	5	4
heating	6	6
turn	58	33
intensity	34	7
thermodynamic	1	1
discontinuities	3	3
storms	2	2
yet	40	30
lanicci	1	1
dry	12	8
northern	33	23
mexico	76	60
southern	76	39
plains	4	3
dynamically	3	3
interact	12	11
prestorm	1	1
subsequent	40	29
convective	7	3
rainfall	3	2
patterns	75	38
unclear	16	16
whether	149	77
collected	23	14
indication	6	6
favor	27	23
betts	3	3
showing	28	24
initialization	1	1
ecmwf	10	5
weather	38	21
predictions	11	6
region	101	42
extreme	19	16
wetness	5	1
comparison	328	79
climatological	9	3
average	54	26
clearly	42	25
effect	177	83
normal	49	28
vary	11	10
events	174	63
meaningful	8	7
dimensional	16	9
assimilations	1	1
dda	2	2
ranging	18	17
appears	18	15
hydrometeorological	1	1
validation	9	2
ubiquitous	2	2
disciplines	7	4
frequent	12	9
fit	36	23
umbrella	4	4
four	133	79
highest	24	20
priority	17	17
radiant	1	1
observable	2	2
profile	25	18
plants	18	11
transpiration	1	1
atmosphere	21	18
physical	147	63
soils	9	4
improve	51	32
adapt	3	3
areas	140	72
biomes	1	1
geology	9	7
measuring	22	15
obvious	12	10
question	97	59
might	100	56
society	267	89
routine	21	11
day	239	111
lives	51	36
improvements	12	10
range	74	46
forecasting	31	12
incorporating	9	9
km	51	13
grid	7	5
daily	92	45
farm	36	24
uses	72	47
improving	25	19
irrigation	6	4
scheduling	6	5
efficiencies	1	1
crop	8	8
yield	10	8
domestic	110	46
foreign	329	92
here	181	141
three	330	136
better	63	44
quantification	1	1
storages	1	1
assist	25	21
makers	17	15
allocation	7	7
coordination	4	4
relief	9	9
flooding	5	4
particularly	127	70
annual	58	24
inter	47	20
able	81	55
represent	32	24
accurately	8	6
validity	12	10
satellite	25	12
increasingly	24	23
climatologists	2	1
provide	177	80
liquid	8	5
content	108	54
improves	7	5
several	150	88
visible	14	12
near	86	36
infrared	1	1
sensors	12	5
extensively	13	8
signal	23	13
electromagnetic	3	3
spectrum	19	9
grain	8	5
size	43	34
impurities	1	1
shallow	4	3
cloud	21	10
obtaining	14	10
suitable	21	10
infrequent	1	1
continental	20	10
basin	2	2
requires	52	32
signals	12	9
resolution	76	36
spaceborne	21	12
coarser	1	1
variation	47	5
mountainous	7	6
long	223	130
promised	19	13
advantages	64	33
night	59	29
decade	32	26
acquisition	16	13
processing	34	24
quantitative	9	8
interpretation	50	28
put	49	34
advanced	42	32
doorstep	2	2
using	270	109
sir	114	24
airsar	23	6
improvement	28	23
backscattering	3	1
polarization	18	3
algorithm	8	3
retrieve	4	3
indicates	30	12
what	388	152
rate	104	53
band	93	18
hydrological	4	2
maps	15	7
derived	16	13
now	205	90
compare	8	8
reasonably	20	14
imagery	42	10
clear	39	26
daylight	2	2
quantitatively	1	1
topographic	4	3
potentially	8	8
extended	28	20
experiments	16	8
mounted	7	4
trucks	2	2
spacecraft	8	4
thin	10	7
layer	11	7
bare	7	5
thinly	5	2
vegetated	4	1
surfaces	7	3
basic	87	55
approaches	58	33
typically	25	17
radiometry	1	1
utilize	11	10
contrast	61	31
dielectric	4	1
constant	14	10
wet	9	5
emissivity	1	1
backscatter	17	4
approaching	3	3
db	11	7
differences	97	55
swath	4	2
width	7	3
power	334	97
requirements	87	47
almost	39	34
exception	19	13
complementary	6	5
strengths	15	14
matched	5	4
weaknesses	19	17
vice	33	23
versa	6	6
rates	74	32
simpler	2	2
disadvantages	25	15
poor	56	46
comes	29	24
expense	13	10
complex	92	43
show	91	46
estimated	46	27
frequencies	9	5
correlate	1	1
best	236	158
moistures	2	1
airborne	11	8
ulaby	3	1
batlivala	1	1
wang	22	12
dobson	1	1
lin	13	5
algorithms	24	10
invert	1	1
infer	5	1
dubois	10	5
evaluated	10	7
broader	9	8
difficulties	31	25
remotely	6	2
target	16	13
characteristics	55	37
roughness	17	2
topography	6	5
canopy	5	1
applying	20	15
studied	15	11
various	319	119
specifically	57	45
ghz	4	2
short	109	61
grass	16	10
parameter	6	5
equal	35	24
greater	56	37
problem	197	83
independently	10	8
inverted	1	1
estimate	12	9
effects	275	83
scattering	17	5
estimation	15	12
namely	6	5
small	146	60
perturbation	3	2
spm	3	2
optics	12	7
pom	6	6
geometrical	2	1
gom	1	1
broad	44	31
sense	56	36
suited	9	9
rough	2	2
intermediate	9	8
smooth	12	10
good	156	74
predictive	1	1
observed	21	14
examples	50	36
fung	1	1
adopted	19	14
behavior	136	45
limiting	13	12
cases	177	59
empirical	9	6
terms	122	69
root	8	7
mean	34	21
square	19	17
rms	1	1
height	11	9
multipolarized	1	1
ratios	7	4
hh	24	7
vv	10	4
hv	8	5
explicitly	4	2
sections	19	15
accuracies	7	3
absolute	14	11
normalized	1	1
difference	32	27
index	176	153
ndvi	1	1
attenuate	1	1
emission	4	3
adds	13	8
flux	5	4
affects	36	28
determination	22	18
depends	19	13
upon	157	82
wavelength	14	4
structural	30	23
influences	60	38
complexity	15	12
inference	2	2
unique	45	34
greatly	12	11
dependent	22	20
instrument	58	18
incidence	17	13
angle	12	6
frequency	48	11
contains	37	25
along	75	50
plant	52	26
structure	141	70
therefore	35	23
integrated	21	15
underlying	22	21
volume	29	16
transfer	61	34
constraints	5	5
especially	108	72
dealing	93	53
groups	130	73
presence	26	22
presented	39	31
saatchi	1	1
showed	23	16
grasses	1	1
konza	1	1
prairie	8	8
england	76	30
assuming	4	4
accounted	4	4
radiometer	4	1
tens	4	4
kilometers	24	12
sensed	4	1
optimum	7	5
polarimetric	5	2
evidence	94	43
suggests	25	16
inferring	1	1
help	126	71
resolve	19	14
effectiveness	68	36
types	107	59
densities	1	1
multi	40	25
platform	32	11
sets	25	13
isolate	2	2
slowly	8	8
promising	8	7
combining	6	6
distributed	27	19
deciding	9	9
usefulness	6	6
instruments	22	14
inferred	1	1
estimates	9	7
account	99	59
technique	47	28
compared	90	50
way	198	86
areal	1	1
averages	6	3
judging	3	3
performance	93	46
countries	188	70
activities	121	72
agriculture	27	18
programs	267	80
illinois	605	64
site	115	59
network	132	42
former	150	61
soviet	187	41
union	179	69
vinnikov	2	1
yeserkepova	2	1
neutron	1	1
probe	10	9
domain	19	8
reflectivity	1	1
td	5	5
intensive	12	9
gravimetric	1	1
weekly	24	14
longer	56	40
growing	75	49
biweekly	1	1
samples	10	5
monthly	40	17
sampled	1	1
interval	8	4
definition	77	50
depth	41	33
usually	90	34
consisting	7	7
every	102	57
throughout	58	48
zone	44	20
depths	2	2
meters	21	11
defined	69	30
extensive	37	27
detect	4	4
horizontal	7	6
plane	8	6
investigators	11	6
looked	11	8
rogowski	1	1
coefficient	6	4
bars	4	4
hydraulic	18	3
conductivity	1	1
hawley	1	1
investigated	10	6
sample	15	10
plot	36	12
cv	9	6
implying	4	4
single	74	46
ha	818	69
acres	2	2
bell	31	17
fields	31	22
kansas	73	40
south	290	100
dakota	69	38
nominal	11	7
standard	91	49
deviation	5	3
analyzed	36	21
perfect	21	11
correlations	9	5
observations	27	18
unlikely	8	7
inherent	24	20
same	170	79
inversion	3	1
wider	7	7
done	59	43
concepts	66	34
proven	13	10
kostov	2	1
statistical	27	18
priori	7	4
radiometric	1	1
mapping	15	6
straightforward	4	4
regression	6	2
reutov	1	1
shutko	1	1
combination	19	16
entekhabi	1	1
needs	97	57
considered	76	51
particular	104	62
compatible	9	6
caused	41	26
ancillary	4	1
satellites	21	12
offer	58	36
jers	2	2
sars	4	1
operating	61	32
canadian	48	21
radarsat	1	1
launched	13	11
optimal	15	10
preliminary	9	7
demonstrate	17	17
ideal	39	21
saturation	1	1
main	98	68
drawback	4	3
accumulating	2	2
diverse	11	9
sites	62	30
hoped	6	6
sufficient	16	14
developing	58	40
brought	36	29
together	64	50
base	65	38
grouped	3	3
classes	28	22
hapex	2	1
mobilhy	1	1
pilot	13	10
experiment	23	13
modelisation	1	1
bilan	1	1
hydrique	1	1
france	97	37
sahel	1	1
niger	1	1
west	206	103
africa	61	31
islscp	1	1
fife	1	1
hydro	10	6
mahantango	2	1
catchment	4	1
sensor	13	5
dc	137	12
synthetic	20	15
aperture	16	12
carrying	12	11
pbmr	1	1
thematic	16	9
mapper	3	1
simulator	2	1
washita	3	1
conducted	42	26
oklahoma	36	35
thermal	6	6
electronically	5	4
steered	2	2
thinned	1	1
array	9	7
estar	4	4
laser	18	13
profiler	1	1
europe	152	59
slapton	1	1
wood	12	11
devon	2	2
montespertoli	2	1
tuscony	1	1
italy	81	36
efeda	1	1
spain	28	20
shuttle	43	16
flights	15	5
october	96	53
included	55	42
ok	108	38
alcona	1	1
manitoba	1	1
canada	96	36
zwalm	1	1
belgium	12	11
available	211	86
developers	7	6
planned	25	22
assets	57	18
pass	21	16
digital	40	21
elevation	12	4
dem	18	5
analysis	1072	130
corresponding	5	5
decrease	15	11
map	31	20
furthermore	5	5
effectively	31	18
numerical	15	7
simulations	42	15
verification	25	8
polarized	5	3
provides	170	74
firn	6	6
accumulation	1	1
growth	152	63
tool	100	31
property	274	44
supply	48	34
amount	113	39
melted	2	2
traditionally	9	8
hundred	10	9
courses	14	12
western	142	72
extrapolate	2	1
widely	21	18
dispersed	2	2
remains	24	19
mountains	8	8
detection	10	6
derive	4	3
maximum	40	24
geographic	5	5
usage	22	19
bases	20	16
collect	26	16
globally	5	5
projected	14	12
advantageous	5	4
true	41	33
detail	21	19
offered	35	31
interesting	18	13
does	179	70
seem	10	8
really	36	25
except	45	31
less	105	56
analyses	19	15
observation	64	40
valuation	2	2
diurnal	2	1
decreasing	4	4
rising	11	10
slightly	17	14
certainly	12	8
certain	135	66
physically	17	15
predawn	1	1
late	51	42
afternoon	6	6
shorter	7	6
wavelengths	5	3
utilizing	22	12
greatest	22	17
sacrifice	2	2
plateau	7	4
selected	56	31
beyond	43	33
recommendations	46	28
indicating	17	14
multiparameter	3	1
bring	62	35
closer	8	7
quantities	6	6
recognized	18	14
logical	15	11
steps	32	26
communities	34	25
doubtful	2	2
quantified	1	1
assumptions	11	9
ultimate	26	23
recognizing	8	6
happen	22	18
soon	37	30
vehicle	74	28
launch	60	10
below	66	31
outline	25	24
consider	34	25
combine	12	12
campaigns	37	26
analyze	12	12
empirically	1	1
sigma	6	2
vs	133	55
type	87	58
vigorous	2	2
extend	12	12
refine	1	1
emphasis	70	47
coordinated	6	5
involving	44	30
terrain	7	6
examine	13	11
evaluate	15	14
severity	8	8
exist	22	21
modeled	5	4
precision	5	4
performances	4	4
modelers	1	1
updated	147	142
bruce	29	27
chapman	27	23
agency	143	56
specialties	8	6
professional	90	52
relations	194	69
firm	48	34
sacramento	10	9
san	183	46
diego	36	16
irvine	15	8
training	92	48
orking	1	1
credible	4	4
your	282	81
message	28	16
face	42	32
executives	14	11
sound	43	33
scary	2	2
needn	1	1
comfortable	8	6
reporters	28	11
yes	26	8
aggressive	6	5
ones	19	17
theirs	1	1
working	128	76
acclaimed	2	2
california	100	64
emmy	1	1
winning	22	17
tv	131	47
swatt	1	1
investigative	11	8
level	144	82
political	682	157
press	232	82
aides	20	9
want	91	52
give	110	61
newsworthy	2	2
bad	23	16
flat	9	7
uninteresting	1	1
orange	29	15
developer	3	2
kathryn	1	1
thompson	17	14
helped	16	12
appearances	8	7
king	98	37
live	46	33
led	55	40
invitations	5	5
white	133	61
conferences	11	8
teachers	40	19
reason	77	40
voucher	2	2
initiative	21	17
defeated	3	3
trained	11	10
discipline	31	17
volatile	2	2
trainees	1	1
spoke	8	7
radio	118	47
passion	8	8
commitment	34	24
biggest	18	15
asset	11	10
huge	16	15
margin	4	4
victory	29	17
election	119	37
athletes	5	3
spokesmen	1	1
dodger	1	1
sutton	2	2
actor	11	4
dennis	5	5
franz	12	8
quarterback	1	1
beuerlein	1	1
baseball	3	3
player	5	4
jay	5	5
johnstone	1	1
crisis	128	53
corporate	71	34
roots	36	31
lobbying	31	14
marketing	241	43
advertising	53	19
online	107	19
nelson	35	27
ncg	11	8
nelsongroup	10	8
gazette	187	9
clients	52	25
awards	23	18
feedback	21	16
shared	77	29
vision	104	40
past	120	73
turkeys	23	2
turned	14	11
meat	9	2
machines	18	12
degrade	4	3
destroy	5	4
kinship	3	3
living	106	44
alienate	1	1
ourselves	14	10
habits	23	13
appetites	1	1
mason	9	6
canadians	3	1
sit	12	10
down	102	57
turkey	59	16
feast	2	1
holiday	18	9
think	43	22
bird	14	4
got	40	20
plate	8	4
story	115	45
slaughter	11	7
buffalo	54	8
drift	2	2
netting	1	1
oceans	8	5
removed	17	11
associate	7	6
chickens	1	1
pheasants	1	1
partridges	1	1
wild	12	8
indigenous	8	7
united	342	107
domesticated	1	1
years	388	136
ago	28	24
conquistadors	2	1
landed	5	4
th	234	78
century	164	54
columbus	19	11
thought	87	42
european	160	60
eat	7	4
invited	20	14
honduras	3	3
returned	19	16
took	64	48
birds	13	2
popular	68	41
eventually	16	15
merchants	8	5
trading	38	16
eastern	72	43
mediterranean	4	4
turkish	16	9
empire	47	19
staple	1	1
english	93	59
christmas	7	4
dinners	1	1
virginia	122	49
colonists	5	3
crossed	1	1
ocean	28	18
early	147	87
tradition	41	30
thanks	8	7
giving	49	40
feasts	1	1
benjamin	14	14
franklin	40	21
instead	53	30
native	51	21
pre	64	42
columbian	1	1
ten	47	35
million	174	53
freely	16	13
roamed	1	1
forests	12	7
continent	24	8
lived	21	17
diet	13	7
nuts	9	8
acorns	2	1
seeds	9	5
grains	3	2
flew	15	8
mostly	17	15
roost	2	1
trees	42	15
walked	3	3
ran	10	8
often	107	59
reaching	23	17
speeds	5	4
habitat	5	4
hunting	6	5
factory	13	7
farming	6	4
genetic	13	7
hundreds	24	22
brutal	3	3
vastly	7	7
ancestors	2	2
applies	22	18
philosophy	300	110
animal	28	17
insider	11	5
butterball	1	1
tech	35	14
exceptions	18	12
completely	16	13
industrialized	13	10
gone	9	7
yards	1	1
pecking	1	1
spend	20	14
entire	40	31
windowless	1	1
sheds	1	1
shavings	1	1
floor	38	19
never	57	38
cleaned	2	2
shed	3	3
feet	31	15
per	157	52
lighting	13	8
reduce	42	34
aggression	6	4
packed	4	3
foot	26	10
ulcerations	1	1
cause	61	31
lameness	3	2
constantly	9	9
standing	17	16
dirty	4	3
litter	1	1
ammonia	4	2
irritating	1	1
gases	6	5
filth	1	1
germs	1	1
resulting	46	38
respiratory	4	4
colibacillosis	1	1
fowl	1	1
cholera	1	1
avian	1	1
influenza	2	2
eurella	1	1
coryzasis	1	1
diseases	23	15
responsible	76	43
half	53	34
deaths	13	10
chicken	4	2
broiler	1	1
beaked	2	1
involves	23	18
slicing	1	1
off	106	66
beak	1	1
blade	5	2
around	99	62
minimize	7	5
injury	120	15
peck	2	2
stress	36	22
pain	28	19
procedure	62	26
prolonged	2	2
possibly	14	9
indefinite	6	6
far	63	44
innovation	11	11
occurred	34	30
producers	8	7
started	29	18
genetically	5	2
altering	8	6
selectively	1	1
breeding	6	5
breast	17	7
raises	4	3
roy	10	9
crawford	4	4
market	330	65
gene	11	9
catastrophe	4	4
wipe	2	2
heavy	23	15
breasted	1	1
altered	8	6
rapid	21	18
gain	27	22
trouble	14	11
supporting	36	27
normally	13	8
infections	7	3
leg	42	19
hip	17	9
joints	11	7
changed	37	24
reproduce	5	5
naturally	4	4
artificial	12	12
insemination	1	1
sole	25	9
method	84	48
reproduction	4	4
raised	25	20
food	113	51
stud	21	6
concept	122	53
males	4	4
females	3	3
isolated	9	8
semen	4	1
milked	1	1
male	25	20
injected	6	3
female	43	28
milk	21	8
worker	125	26
catches	1	1
tom	48	22
legs	10	6
puts	4	4
him	120	57
upside	5	3
his	1199	165
neck	2	2
chest	2	2
bench	2	2
places	24	22
padded	2	2
clamps	3	3
